dist,winner,speedup_ratio,cpp_median_10m,n,decision_note
arcsine,cpp,1.0,10198200.0,100000,ISPC not a candidate
argus,cpp,1.0,3883730.0,100000,ISPC not a candidate
asymmetric,cpp,1.0,3890650.0,100000,ISPC not a candidate
baldingnichols,cpp,1.0,3905480.0,100000,ISPC not a candidate
bates,cpp,1.0,777008.0,100000,ISPC not a candidate
benford,cpp,1.0,2340380.0,100000,ISPC not a candidate
benini,cpp,1.0,3921180.0,100000,ISPC not a candidate
benktander-1st-kind,cpp,1.0,3911380.0,100000,ISPC not a candidate
benktander-2nd-kind,cpp,1.0,3923180.0,100000,ISPC not a candidate
bernoulli,cpp,1.0,183478.0,100000,missing large-n timings
beta-binomial,cpp,1.0,19206100.0,100000,ISPC not a candidate
beta-negative-binomial,cpp,1.0,3937680.0,100000,ISPC not a candidate
beta-prime,cpp,1.0,9681490.0,100000,ISPC not a candidate
beta-rectangular,cpp,1.0,3897630.0,100000,ISPC not a candidate
beta,cpp,1.0,9090410.0,100000,ISPC not a candidate
bingham,cpp,1.0,3903990.0,100000,ISPC not a candidate
binomial,cpp,1.0,4467080.0,100000,missing large-n timings
bivariate-von-mises,cpp,1.0,3928000.0,100000,ISPC not a candidate
borel,cpp,1.0,3935130.0,100000,ISPC not a candidate
burr,cpp,1.0,1396950.0,100000,ISPC not a candidate
cantor,cpp,1.0,3918580.0,100000,ISPC not a candidate
categorical,cpp,1.0,730884.0,100000,ISPC not a candidate
cauchy,cpp,1.0,3035370.0,100000,ISPC not a candidate
chi-squared,cpp,1.0,4814250.0,100000,ISPC not a candidate
chi,cpp,1.0,4996620.0,100000,ISPC not a candidate
circular-uniform,cpp,1.0,146748.0,100000,ISPC not a candidate
complex,cpp,1.0,3927480.0,100000,ISPC not a candidate
continuous-bernoulli,cpp,1.0,3862160.0,100000,ISPC not a candidate
continuous-binomial,cpp,1.0,3939190.0,100000,ISPC not a candidate
conwaymaxwellpoisson,cpp,1.0,3922720.0,100000,ISPC not a candidate
dagum,cpp,1.0,1414670.0,100000,ISPC not a candidate
davis,cpp,1.0,3925450.0,100000,ISPC not a candidate
delaporte,cpp,1.0,3954970.0,100000,ISPC not a candidate
dirac-delta-function,cpp,1.0,0.0,100000,ISPC not a candidate
dirichlet-multinomial,cpp,1.0,3888190.0,100000,ISPC not a candidate
dirichlet,cpp,1.0,3907330.0,100000,ISPC not a candidate
discrete-phase-type,cpp,1.0,3944480.0,100000,ISPC not a candidate
discrete-uniform,cpp,1.0,215286.0,100000,missing large-n timings
discrete-weibull,cpp,1.0,3897020.0,100000,ISPC not a candidate
erlang,cpp,1.0,4878240.0,100000,ISPC not a candidate
ewens,cpp,1.0,3894460.0,100000,ISPC not a candidate
exponential-logarithmic,cpp,1.0,2168240.0,100000,ISPC not a candidate
exponential-power,cpp,1.0,2139380.0,100000,ISPC not a candidate
exponential,cpp,1.0,2146890.0,100000,missing large-n timings
extended-negative-binomial,cpp,1.0,3933120.0,100000,ISPC not a candidate
f,cpp,1.0,9627650.0,100000,ISPC not a candidate
fishers-z,cpp,1.0,3920370.0,100000,ISPC not a candidate
floryschulz,cpp,1.0,3931260.0,100000,ISPC not a candidate
folded-normal,cpp,1.0,27964300.0,100000,ISPC not a candidate
frechet,cpp,1.0,3929530.0,100000,ISPC not a candidate
gamma-gompertz,cpp,1.0,4817970.0,100000,ISPC not a candidate
gamma,cpp,1.0,4798400.0,100000,ISPC not a candidate
gaussian-q,cpp,1.0,3901600.0,100000,ISPC not a candidate
gausskuzmin,cpp,1.0,3925480.0,100000,ISPC not a candidate
generalized-beta,cpp,1.0,3881980.0,100000,ISPC not a candidate
generalized-chi-squared,cpp,1.0,3929960.0,100000,ISPC not a candidate
generalized-dirichlet,cpp,1.0,3896050.0,100000,ISPC not a candidate
generalized-extreme-value,cpp,1.0,3910670.0,100000,ISPC not a candidate
generalized-gamma,cpp,1.0,3911060.0,100000,ISPC not a candidate
generalized-hyperbolic,cpp,1.0,3925150.0,100000,ISPC not a candidate
generalized-logistic-logistic-beta,cpp,1.0,3887170.0,100000,ISPC not a candidate
generalized-normal,cpp,1.0,3902100.0,100000,ISPC not a candidate
generalized-pareto,cpp,1.0,3896750.0,100000,ISPC not a candidate
